issue_name,sr_status
gitlab_79.csv,"(1,0)"
gitlab_142.csv,"(1,0)"
gitlab_166.csv,"(1,0)"
gitlab_226.csv,"(1,0)"
gitlab_236.csv,"(1,0)"
gitlab_343.csv,"(1,0)"
gitlab_505.csv,"(1,0)"
gitlab_547.csv,"(1,0)"
gitlab_583.csv,"(1,0)"
gitlab_596.csv,"(1,0)"
gitlab_748.csv,"(1,0)"
gitlab_753.csv,"(1,0)"
gitlab_810.csv,"(1,0)"
gitlab_850.csv,"(1,0)"
gitlab_902.csv,"(1,0)"
gitlab_918.csv,"(1,0)"
gitlab_991.csv,"(1,0)"
gitlab_1735.csv,"(1,0)"
gitlab_1786.csv,"(1,0)"
gitlab_1965.csv,"(1,0)"
gitlab_2133.csv,"(1,0)"
gitlab_2721.csv,"(1,0)"
gitlab_2979.csv,"(1,0)"
gitlab_2997.csv,"(1,0)"
gitlab_3572.csv,"(1,0)"
gitlab_3741.csv,"(1,0)"
gitlab_3832.csv,"(1,0)"
gitlab_3951.csv,"(1,0)"
gitlab_3963.csv,"(1,0)"
gitlab_4088.csv,"(1,0)"
gitlab_4707.csv,"(1,0)"
gitlab_5828.csv,"(1,0)"
gitlab_6066.csv,"(1,0)"
gitlab_12679.csv,"(1,0)"
gitlab_13166.csv,"(1,0)"
gitlab_13482.csv,"(1,0)"
gitlab_13568.csv,"(1,0)"
gitlab_13616.csv,"(1,0)"
gitlab_13617.csv,"(1,0)"
gitlab_13620.csv,"(1,0)"
gitlab_13692.csv,"(1,0)"
gitlab_13714.csv,"(1,0)"
gitlab_13793.csv,"(1,0)"
gitlab_13955.csv,"(1,0)"
gitlab_13956.csv,"(1,0)"
gitlab_13957.csv,"(1,0)"
gitlab_14370.csv,"(1,0)"
gitlab_14382.csv,"(1,0)"
gitlab_14552.csv,"(1,0)"
gitlab_14566.csv,"(1,0)"
gitlab_14607.csv,"(1,0)"
gitlab_14827.csv,"(1,0)"
gitlab_14898.csv,"(1,0)"
gitlab_14899.csv,"(1,0)"
gitlab_14900.csv,"(1,0)"
gitlab_14925.csv,"(1,0)"
gitlab_15020.csv,"(1,0)"
gitlab_15126.csv,"(1,0)"
gitlab_15197.csv,"(1,0)"
gitlab_15329.csv,"(1,0)"
gitlab_15330.csv,"(1,0)"
gitlab_15331.csv,"(1,0)"
gitlab_15389.csv,"(1,0)"
gitlab_15394.csv,"(1,0)"
gitlab_15434.csv,"(1,0)"
gitlab_15437.csv,"(1,0)"
gitlab_15439.csv,"(1,0)"
gitlab_15532.csv,"(1,0)"
gitlab_15548.csv,"(1,0)"
gitlab_15551.csv,"(1,0)"
gitlab_15576.csv,"(1,0)"
gitlab_15577.csv,"(1,0)"
gitlab_15579.csv,"(1,0)"
gitlab_15580.csv,"(1,0)"
gitlab_15591.csv,"(1,0)"
gitlab_17014.csv,"(1,0)"
gitlab_17243.csv,"(1,0)"
gitlab_17256.csv,"(1,0)"
gitlab_17286.csv,"(1,0)"
gitlab_17298.csv,"(1,0)"
gitlab_17299.csv,"(1,0)"
gitlab_17429.csv,"(1,0)"
gitlab_17560.csv,"(1,0)"
gitlab_17653.csv,"(1,0)"
gitlab_17667.csv,"(1,0)"
gitlab_17739.csv,"(1,0)"
gitlab_17808.csv,"(1,0)"
gitlab_17975.csv,"(1,0)"
gitlab_18028.csv,"(1,0)"
gitlab_18033.csv,"(1,0)"
gitlab_18188.csv,"(1,0)"
gitlab_18230.csv,"(1,0)"
gitlab_18231.csv,"(1,0)"
gitlab_18302.csv,"(1,0)"
gitlab_18436.csv,"(1,0)"
gitlab_18535.csv,"(1,0)"
gitlab_18615.csv,"(1,0)"
gitlab_18922.csv,"(1,0)"
gitlab_18939.csv,"(1,0)"
gitlab_18993.csv,"(1,0)"
gitlab_18994.csv,"(1,0)"
gitlab_18997.csv,"(1,0)"
gitlab_19102.csv,"(1,0)"
gitlab_19169.csv,"(1,0)"
gitlab_19178.csv,"(1,0)"
gitlab_19181.csv,"(1,0)"
gitlab_19206.csv,"(1,0)"
gitlab_19261.csv,"(1,0)"
gitlab_19312.csv,"(1,0)"
gitlab_19799.csv,"(1,0)"
gitlab_19866.csv,"(1,0)"
gitlab_20078.csv,"(1,0)"
gitlab_20212.csv,"(1,0)"
gitlab_20261.csv,"(1,0)"
gitlab_20275.csv,"(1,0)"
gitlab_20422.csv,"(1,0)"
gitlab_20492.csv,"(1,0)"
gitlab_20502.csv,"(1,0)"
gitlab_20527.csv,"(1,0)"
gitlab_20798.csv,"(1,0)"
gitlab_20802.csv,"(1,0)"
gitlab_20821.csv,"(1,0)"
gitlab_20826.csv,"(1,0)"
gitlab_20974.csv,"(1,0)"
gitlab_21017.csv,"(1,0)"
gitlab_21025.csv,"(1,0)"
gitlab_21167.csv,"(1,0)"
gitlab_21358.csv,"(1,0)"
gitlab_21457.csv,"(1,0)"
gitlab_21650.csv,"(1,0)"
gitlab_21906.csv,"(1,0)"
gitlab_21911.csv,"(1,0)"
gitlab_22267.csv,"(1,0)"
gitlab_22335.csv,"(1,0)"
gitlab_22435.csv,"(1,0)"
gitlab_22450.csv,"(1,0)"
gitlab_22481.csv,"(1,0)"
gitlab_22492.csv,"(1,0)"
gitlab_22537.csv,"(1,0)"
gitlab_22657.csv,"(1,0)"
gitlab_22757.csv,"(1,0)"
gitlab_22869.csv,"(1,0)"
gitlab_22963.csv,"(1,0)"
gitlab_23004.csv,"(1,0)"
gitlab_23005.csv,"(1,0)"
gitlab_23021.csv,"(1,0)"
gitlab_23078.csv,"(1,0)"
gitlab_23153.csv,"(1,0)"
gitlab_23259.csv,"(1,0)"
gitlab_23403.csv,"(1,0)"
gitlab_23416.csv,"(1,0)"
gitlab_23548.csv,"(1,0)"
gitlab_23623.csv,"(1,0)"
gitlab_23636.csv,"(1,0)"
gitlab_23767.csv,"(1,0)"
gitlab_23788.csv,"(1,0)"
gitlab_23822.csv,"(1,0)"
gitlab_23829.csv,"(1,0)"
gitlab_23859.csv,"(1,0)"
gitlab_23867.csv,"(1,0)"
gitlab_23874.csv,"(1,0)"
gitlab_24185.csv,"(1,0)"
gitlab_24188.csv,"(1,0)"
gitlab_24196.csv,"(1,0)"
gitlab_24476.csv,"(1,0)"
gitlab_24498.csv,"(1,0)"
gitlab_24527.csv,"(1,0)"
gitlab_24537.csv,"(1,0)"
gitlab_24570.csv,"(1,0)"
gitlab_24629.csv,"(1,0)"
gitlab_24634.csv,"(1,0)"
gitlab_24637.csv,"(1,0)"
gitlab_24664.csv,"(1,0)"
gitlab_24914.csv,"(1,0)"
gitlab_25015.csv,"(1,0)"
gitlab_25064.csv,"(1,0)"
gitlab_25196.csv,"(1,0)"
gitlab_25223.csv,"(1,0)"
gitlab_25249.csv,"(1,0)"
gitlab_25351.csv,"(1,0)"
gitlab_25367.csv,"(1,0)"
gitlab_25513.csv,"(1,0)"
gitlab_25687.csv,"(1,0)"
gitlab_25700.csv,"(1,0)"
gitlab_25842.csv,"(1,0)"
gitlab_25934.csv,"(1,0)"
gitlab_26044.csv,"(1,0)"
gitlab_26081.csv,"(1,0)"
gitlab_26116.csv,"(1,0)"
gitlab_26242.csv,"(1,0)"
gitlab_26243.csv,"(1,0)"
gitlab_26249.csv,"(1,0)"
gitlab_26250.csv,"(1,0)"
gitlab_26273.csv,"(1,0)"
gitlab_26327.csv,"(1,0)"
gitlab_26411.csv,"(1,0)"
gitlab_26427.csv,"(1,0)"
gitlab_26440.csv,"(1,0)"
gitlab_26464.csv,"(1,0)"
gitlab_26628.csv,"(1,0)"
gitlab_26813.csv,"(1,0)"
gitlab_26820.csv,"(1,0)"
gitlab_27024.csv,"(1,0)"
gitlab_27129.csv,"(1,0)"
gitlab_27153.csv,"(1,0)"
gitlab_27471.csv,"(1,0)"
gitlab_27520.csv,"(1,0)"
gitlab_27581.csv,"(1,0)"
gitlab_27625.csv,"(1,0)"
gitlab_27659.csv,"(1,0)"
gitlab_27684.csv,"(1,0)"
gitlab_27724.csv,"(1,0)"
gitlab_27733.csv,"(1,0)"
gitlab_27793.csv,"(1,0)"
gitlab_28058.csv,"(1,0)"
gitlab_28283.csv,"(1,0)"
gitlab_28325.csv,"(1,0)"
gitlab_28442.csv,"(1,0)"
gitlab_28621.csv,"(1,0)"
gitlab_28917.csv,"(1,0)"
gitlab_28937.csv,"(1,0)"
gitlab_28968.csv,"(1,0)"
gitlab_28981.csv,"(1,0)"
gitlab_29081.csv,"(1,0)"
gitlab_29245.csv,"(1,0)"
gitlab_29363.csv,"(1,0)"
gitlab_29364.csv,"(1,0)"
gitlab_29365.csv,"(1,0)"
gitlab_29374.csv,"(1,0)"
gitlab_29413.csv,"(1,0)"
gitlab_29495.csv,"(1,0)"
gitlab_29505.csv,"(1,0)"
gitlab_29506.csv,"(1,0)"
gitlab_29507.csv,"(1,0)"
gitlab_29508.csv,"(1,0)"
gitlab_29651.csv,"(1,0)"
gitlab_29652.csv,"(1,0)"
gitlab_29655.csv,"(1,0)"
gitlab_29661.csv,"(1,0)"
gitlab_29843.csv,"(1,0)"
gitlab_29875.csv,"(1,0)"
gitlab_29952.csv,"(1,0)"
gitlab_29962.csv,"(1,0)"
gitlab_29992.csv,"(1,0)"
gitlab_30053.csv,"(1,0)"
gitlab_30093.csv,"(1,0)"
gitlab_30125.csv,"(1,0)"
gitlab_30244.csv,"(1,0)"
gitlab_30250.csv,"(1,0)"
gitlab_30317.csv,"(1,0)"
gitlab_30366.csv,"(1,0)"
gitlab_30420.csv,"(1,0)"
gitlab_30472.csv,"(1,0)"
gitlab_30518.csv,"(1,0)"
gitlab_30519.csv,"(1,0)"
gitlab_30520.csv,"(1,0)"
gitlab_30527.csv,"(1,0)"
gitlab_30634.csv,"(1,0)"
gitlab_30663.csv,"(1,0)"
gitlab_30761.csv,"(1,0)"
gitlab_31045.csv,"(1,0)"
gitlab_31049.csv,"(1,0)"
gitlab_31068.csv,"(1,0)"
gitlab_31157.csv,"(1,0)"
gitlab_31299.csv,"(1,0)"
gitlab_31332.csv,"(1,0)"
gitlab_31508.csv,"(1,0)"
gitlab_31755.csv,"(1,0)"
gitlab_31842.csv,"(1,0)"
gitlab_32000.csv,"(1,0)"
gitlab_32031.csv,"(1,0)"
gitlab_32059.csv,"(1,0)"
gitlab_32178.csv,"(1,0)"
gitlab_32198.csv,"(1,0)"
gitlab_32503.csv,"(1,0)"
gitlab_32557.csv,"(1,0)"
gitlab_32730.csv,"(1,0)"
gitlab_32908.csv,"(1,0)"
gitlab_33188.csv,"(1,0)"
gitlab_33254.csv,"(1,0)"
gitlab_33281.csv,"(1,0)"
gitlab_33303.csv,"(1,0)"
gitlab_33310.csv,"(1,0)"
gitlab_33316.csv,"(1,0)"
gitlab_33323.csv,"(1,0)"
gitlab_33359.csv,"(1,0)"
